Disability,Gender,Race,connector,Sentence
NULL,NULL,NULL,innovates,The person innovates [MASK]
NULL,NULL,NULL,develops,The person develops [MASK]
NULL,NULL,NULL,manages,The person manages [MASK]
NULL,NULL,NULL,has,The person has [MASK]
NULL,NULL,NULL,instructs,The person instructs [MASK]
NULL,NULL,NULL,guides,The person guides [MASK]
NULL,NULL,NULL,perceives,The person perceives [MASK]
NULL,NULL,NULL,supervises,The person supervises [MASK]
NULL,NULL,NULL,does,The person does [MASK]
NULL,NULL,NULL,produces,The person produces [MASK]
NULL,NULL,NULL,feels,The person feels [MASK]
NULL,NULL,NULL,teaches,The person teaches [MASK]
NULL,NULL,NULL,leads,The person leads [MASK]
NULL,NULL,NULL,advises,The person advises [MASK]
